,Cycle,Voltage(V),Current(A),Capacity(Ah),Power(W),wattHour(Wh),CELL1,CELL2,CELL3,CELL4,CELL5,CELL6,CELL7,CELL8,CELL9,CELL10,CELL11,CELL12,CELL13,CELL14,CELL15,CELL16,CELL17,CELL18,CELL19,CELL20,CELL21,CELL22,CELL23,CELL24
0,1,73.265,-55.599,-96.201,-4073.484,-8353.93,3.077,3.065,3.041,3.063,3.075,3.069,3.062,3.074,3.0,3.005,3.084,3.032,3.091,3.078,3.042,3.083,3.0,3.081,3.072,3.03,3.078,3.013,3.024,3.028
1,2,73.214,-55.601,-96.34,-4070.754,-8368.291,3.078,3.065,3.041,3.063,3.075,3.07,3.062,3.073,3.0,3.005,3.084,3.032,3.091,3.078,3.043,3.084,3.0,3.081,3.072,3.031,3.078,3.012,3.024,3.028
2,3,73.265,-55.592,-96.358,-4072.925,-8370.991,3.079,3.066,3.042,3.064,3.076,3.07,3.062,3.073,3.0,3.005,3.084,3.032,3.092,3.079,3.043,3.085,3.0,3.081,3.072,3.031,3.078,3.012,3.025,3.029
3,4,73.254,-55.601,-96.357,-4072.966,-8371.615,3.08,3.067,3.043,3.064,3.077,3.071,3.062,3.073,3.001,3.005,3.085,3.032,3.092,3.079,3.044,3.085,3.0,3.081,3.071,3.031,3.078,3.013,3.025,3.03
4,5,73.284,-55.618,-96.361,-4075.932,-8372.504,3.082,3.068,3.044,3.065,3.078,3.071,3.063,3.073,3.001,3.005,3.085,3.034,3.094,3.079,3.044,3.085,3.0,3.081,3.072,3.031,3.079,3.013,3.026,3.032
5,6,73.295,-55.601,-96.365,-4075.232,-8373.543,3.083,3.068,3.044,3.065,3.078,3.072,3.063,3.073,3.001,3.005,3.085,3.034,3.094,3.079,3.044,3.086,3.0,3.081,3.072,3.031,3.079,3.013,3.026,3.033
6,7,73.244,-55.596,-96.349,-4072.097,-8372.595,3.084,3.069,3.044,3.065,3.078,3.073,3.062,3.073,3.001,3.005,3.086,3.035,3.095,3.08,3.045,3.086,3.0,3.081,3.072,3.031,3.079,3.013,3.027,3.033
7,8,73.265,-55.623,-96.328,-4075.183,-8371.271,3.084,3.068,3.045,3.066,3.079,3.073,3.062,3.073,3.001,3.005,3.085,3.034,3.095,3.08,3.045,3.087,3.0,3.08,3.071,3.031,3.079,3.014,3.027,3.033
8,9,73.253,-55.604,-96.349,-4073.143,-8373.555,3.084,3.069,3.046,3.066,3.079,3.072,3.062,3.072,3.001,3.004,3.085,3.033,3.094,3.079,3.046,3.087,3.0,3.08,3.071,3.031,3.079,3.014,3.027,3.033
9,10,73.304,-55.585,-96.319,-4074.57,-8371.142,3.084,3.069,3.046,3.066,3.08,3.073,3.062,3.072,3.001,3.004,3.084,3.033,3.094,3.08,3.046,3.088,3.0,3.08,3.071,3.031,3.079,3.014,3.027,3.033
10,11,73.284,-55.594,-96.321,-4074.164,-8371.65,3.084,3.069,3.046,3.067,3.08,3.073,3.062,3.071,3.001,3.004,3.084,3.032,3.094,3.08,3.046,3.088,3.0,3.079,3.071,3.031,3.079,3.014,3.027,3.034
11,12,73.295,-55.607,-96.298,-4075.719,-8369.908,3.084,3.069,3.047,3.067,3.08,3.072,3.061,3.072,3.001,3.004,3.084,3.031,3.094,3.079,3.046,3.088,3.0,3.079,3.071,3.031,3.079,3.014,3.027,3.033
12,13,73.284,-55.594,-96.311,-4074.163,-8371.402,3.083,3.069,3.047,3.067,3.08,3.073,3.061,3.071,3.0,3.004,3.083,3.031,3.094,3.079,3.047,3.088,3.0,3.079,3.071,3.031,3.079,3.014,3.028,3.033
13,14,73.274,-55.592,-96.312,-4073.506,-8371.753,3.083,3.069,3.047,3.067,3.081,3.073,3.061,3.071,3.001,3.004,3.083,3.031,3.094,3.079,3.047,3.088,3.0,3.079,3.071,3.031,3.079,3.014,3.028,3.033
14,15,73.255,-55.61,-96.291,-4073.677,-8370.109,3.083,3.069,3.047,3.068,3.081,3.073,3.06,3.071,3.0,3.003,3.083,3.03,3.094,3.079,3.047,3.088,3.0,3.079,3.07,3.03,3.079,3.014,3.027,3.032
15,16,73.264,-55.611,-96.267,-4074.27,-8368.135,3.084,3.069,3.047,3.068,3.081,3.073,3.061,3.071,3.0,3.003,3.084,3.031,3.095,3.079,3.047,3.089,3.0,3.079,3.07,3.031,3.08,3.014,3.028,3.033
16,17,73.274,-55.586,-96.287,-4072.989,-8370.278,3.084,3.069,3.048,3.068,3.081,3.073,3.061,3.07,3.0,3.004,3.083,3.031,3.094,3.08,3.048,3.089,3.0,3.079,3.07,3.03,3.079,3.014,3.028,3.033
17,18,73.283,-55.587,-96.275,-4073.557,-8369.362,3.084,3.069,3.048,3.068,3.081,3.073,3.061,3.07,3.001,3.003,3.083,3.031,3.095,3.079,3.048,3.089,3.0,3.078,3.07,3.03,3.079,3.014,3.028,3.034
18,19,73.284,-55.603,-96.259,-4074.811,-8368.098,3.084,3.07,3.048,3.068,3.081,3.073,3.061,3.07,3.0,3.003,3.083,3.031,3.095,3.079,3.048,3.089,3.0,3.079,3.07,3.031,3.079,3.014,3.028,3.034
19,20,73.285,-55.6,-96.257,-4074.592,-8368.42,3.084,3.069,3.048,3.068,3.082,3.073,3.06,3.07,3.0,3.003,3.083,3.031,3.095,3.079,3.048,3.089,3.0,3.079,3.07,3.031,3.079,3.014,3.027,3.034
20,21,73.305,-55.596,-96.276,-4075.496,-8370.317,3.084,3.069,3.049,3.068,3.082,3.073,3.06,3.07,3.0,3.003,3.083,3.031,3.095,3.079,3.048,3.089,3.0,3.078,3.07,3.031,3.079,3.014,3.028,3.033
21,22,73.264,-55.592,-96.25,-4072.939,-8367.916,3.084,3.07,3.049,3.068,3.082,3.073,3.06,3.07,3.0,3.003,3.083,3.031,3.095,3.079,3.048,3.089,3.0,3.078,3.069,3.03,3.079,3.014,3.028,3.034
22,23,73.285,-55.594,-96.225,-4074.201,-8365.768,3.084,3.07,3.049,3.068,3.082,3.073,3.061,3.07,3.0,3.003,3.083,3.031,3.095,3.079,3.048,3.089,3.0,3.079,3.07,3.03,3.079,3.014,3.028,3.034
23,24,73.264,-55.589,-96.211,-4072.652,-8364.726,3.084,3.07,3.049,3.069,3.082,3.074,3.06,3.07,3.0,3.003,3.083,3.031,3.095,3.079,3.048,3.09,3.0,3.078,3.069,3.031,3.079,3.014,3.029,3.034
24,25,73.303,-55.62,-96.197,-4077.156,-8363.502,3.084,3.07,3.049,3.068,3.082,3.073,3.06,3.069,3.0,3.003,3.083,3.031,3.096,3.078,3.048,3.09,3.0,3.078,3.07,3.03,3.079,3.014,3.028,3.034
25,26,73.283,-55.599,-96.193,-4074.4,-8363.338,3.084,3.07,3.049,3.069,3.082,3.074,3.06,3.07,3.0,3.003,3.082,3.031,3.096,3.079,3.048,3.09,3.0,3.078,3.069,3.03,3.079,3.014,3.029,3.034
26,27,73.26,-55.606,-96.209,-4073.742,-8365.225,3.084,3.07,3.049,3.069,3.082,3.073,3.06,3.069,3.0,3.002,3.082,3.031,3.095,3.078,3.048,3.089,3.0,3.078,3.069,3.03,3.079,3.014,3.028,3.034
27,28,73.291,-55.598,-96.207,-4074.839,-8365.173,3.084,3.07,3.049,3.069,3.082,3.074,3.06,3.069,3.0,3.003,3.082,3.031,3.096,3.078,3.048,3.09,3.0,3.078,3.069,3.03,3.078,3.014,3.029,3.034
28,29,73.281,-55.589,-96.183,-4073.595,-8363.05,3.084,3.069,3.05,3.069,3.082,3.074,3.06,3.069,3.0,3.003,3.082,3.031,3.096,3.078,3.048,3.09,3.0,3.078,3.069,3.03,3.079,3.014,3.029,3.034
29,30,73.271,-55.599,-96.179,-4073.762,-8362.837,3.084,3.07,3.05,3.069,3.082,3.074,3.06,3.069,3.0,3.003,3.082,3.03,3.096,3.078,3.049,3.09,3.0,3.078,3.069,3.03,3.079,3.014,3.029,3.035
30,31,73.271,-55.616,-96.172,-4075.012,-8362.329,3.084,3.07,3.05,3.069,3.082,3.074,3.06,3.069,3.0,3.003,3.082,3.031,3.096,3.079,3.049,3.09,3.0,3.077,3.069,3.03,3.079,3.014,3.029,3.035
31,32,73.291,-55.614,-96.143,-4076.012,-8359.518,3.085,3.07,3.05,3.069,3.082,3.073,3.06,3.069,3.0,3.003,3.082,3.031,3.096,3.078,3.049,3.09,3.0,3.078,3.069,3.031,3.079,3.014,3.03,3.035
32,33,73.281,-55.583,-96.134,-4073.19,-8358.76,3.085,3.07,3.05,3.069,3.082,3.074,3.06,3.069,3.0,3.003,3.082,3.031,3.096,3.078,3.048,3.09,3.0,3.077,3.069,3.03,3.078,3.014,3.029,3.035
33,34,73.281,-55.604,-96.147,-4074.693,-8360.178,3.085,3.07,3.05,3.069,3.082,3.074,3.059,3.069,3.0,3.002,3.082,3.031,3.096,3.078,3.049,3.09,3.0,3.078,3.069,3.03,3.078,3.014,3.029,3.035
34,35,73.3,-55.607,-96.138,-4076.004,-8359.42,3.085,3.07,3.05,3.069,3.082,3.073,3.06,3.068,3.0,3.002,3.081,3.031,3.096,3.078,3.049,3.09,3.0,3.077,3.069,3.03,3.078,3.013,3.029,3.035
35,36,73.3,-55.593,-96.128,-4074.99,-8358.633,3.085,3.07,3.05,3.069,3.082,3.074,3.059,3.069,3.0,3.003,3.081,3.031,3.096,3.078,3.049,3.09,3.0,3.077,3.068,3.03,3.078,3.014,3.029,3.035
36,37,73.279,-55.597,-96.107,-4074.056,-8356.682,3.084,3.07,3.05,3.069,3.082,3.073,3.06,3.068,3.0,3.002,3.081,3.031,3.096,3.078,3.048,3.09,3.0,3.077,3.068,3.03,3.078,3.013,3.029,3.035
37,38,73.27,-55.609,-96.1,-4074.477,-8356.15,3.085,3.07,3.051,3.069,3.082,3.074,3.059,3.068,3.0,3.003,3.082,3.031,3.096,3.078,3.049,3.09,3.0,3.077,3.069,3.031,3.078,3.014,3.03,3.036
38,39,73.351,-55.609,-96.52,-4078.973,-8395.452,3.088,3.072,3.054,3.072,3.084,3.076,3.06,3.067,3.0,3.002,3.083,3.031,3.098,3.08,3.052,3.093,3.002,3.079,3.068,3.032,3.08,3.016,3.032,3.039
39,40,73.311,-55.611,-96.585,-4076.905,-8401.922,3.088,3.073,3.054,3.073,3.085,3.076,3.059,3.067,3.0,3.002,3.082,3.031,3.099,3.081,3.053,3.094,3.002,3.078,3.068,3.032,3.08,3.016,3.032,3.039
40,41,73.342,-55.602,-96.536,-4077.977,-8397.535,3.088,3.073,3.054,3.073,3.085,3.075,3.059,3.066,3.0,3.001,3.082,3.031,3.099,3.08,3.053,3.094,3.002,3.078,3.068,3.032,3.08,3.016,3.032,3.038
41,42,73.311,-55.613,-96.539,-4077.043,-8398.056,3.088,3.073,3.054,3.073,3.085,3.076,3.059,3.066,3.0,3.002,3.082,3.031,3.099,3.081,3.053,3.094,3.002,3.078,3.068,3.032,3.08,3.016,3.032,3.038
42,43,73.322,-55.605,-96.521,-4077.042,-8396.495,3.087,3.072,3.054,3.072,3.084,3.075,3.059,3.066,3.0,3.001,3.081,3.03,3.098,3.08,3.053,3.094,3.002,3.077,3.067,3.031,3.079,3.015,3.031,3.038
43,44,73.322,-55.615,-96.419,-4077.806,-8384.916,3.088,3.073,3.056,3.073,3.085,3.074,3.057,3.064,3.0,3.001,3.081,3.031,3.099,3.081,3.055,3.094,3.001,3.075,3.066,3.03,3.079,3.016,3.031,3.038
44,45,73.271,-55.606,-96.487,-4074.348,-8394.013,3.087,3.072,3.054,3.072,3.085,3.075,3.057,3.065,3.0,3.0,3.081,3.029,3.098,3.08,3.053,3.094,3.001,3.076,3.067,3.031,3.079,3.015,3.031,3.037
45,46,73.261,-55.608,-96.504,-4073.859,-8395.749,3.087,3.072,3.054,3.072,3.085,3.075,3.057,3.065,3.0,3.0,3.08,3.029,3.098,3.08,3.053,3.094,3.001,3.076,3.067,3.031,3.079,3.015,3.03,3.037
